Entry,Site name (site director(s) if multiple entries and/or sample),Lat.,Long.,Site type,Gadidae,Lotidae,Pleuronectidae,Scopthalmidae,Pleuronectidae/Scopthalmidae,Congridae,Trachinidae,Belonidae,Clupeidae,Scombridae,Cottidae,Syngnathidae,Squalidae,Zoarcidae,Triglidae,Sparidae,Labridae,Carangidae,Gobiidae,Moronidae,Anarhichadidae,Callionymidae,Ammodytidae,Xiphiidae,Lamnidae,Triakidae,Rajidae,Mugilidae,Engraulidae,Anguillidae,Salmonidae,Acipenseridae,Gasterosteidae,Cyprinidae,Percidae,Esocidae,Siluridae
29,Gøngehusvej 7,55.851083,12.567302,Dwelling,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
30,Hallebygaard,55.629877,11.295767,Waterlogged settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,Havelse Mølle,55.903762,12.068434,Shell midden,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Havnø (Nationalmuseet),56.707484,10.174768,Shell midden,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,Havnø (S. H. Andersen),56.707484,10.174768,Shell midden,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
34,Havnø (S. H. Andersen),56.707484,10.174768,Shell midden,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
35,Havnsø,55.751514,11.3284,Settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,Hjarnø Sund,55.823644,10.061343,Shell midden,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
37,Hjarnø Vesterhoved,55.828973,10.05648,Shell midden,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
38,Jesholm I,56.485474,10.621196,Waterlogged,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,Jordløse By,55.198911,10.15564,Waterlogged settlement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,Kassemose,55.960365,12.006878,Shell midden,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
