long,lat,systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsb,anlnr,anlaegstyp,anlaegsbet,dateringsk,datering,fra_aar,til_aar,kommunenav,kommunenr,sevaerdigh,url
10.94814744,55.67212814,134510,30110,365,,,Asnæs Havnemark,"Landskab, herunder vådområde",2,3188,Skaldynge,AXXX,Stenalder,-3950,-2801,,,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/134510/
10.54991293,55.77759791,134533,30502,61,,,Brattingsborg,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Samsø,741,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/134533/
10.55440371,55.77425218,134534,30502,62,,,Brattingsborg,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Samsø,741,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/134534/
10.5583499,55.77405843,134535,30502,63,,,Brattingsborg,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Samsø,741,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/134535/
9.975104066,56.69540053,134786,120406,131,,,Oue,Uspecificeret,1,3188,Skaldynge,CXXX,Jernalder,-500,-401,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/134786/
9.264300228,56.8974025,134846,120714,38,,,Egsminde,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Vesthimmerland,820,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/134846/
9.761813774,56.61927133,134949,140707,78,,,St. Bundgård,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-3950,-3301,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/134949/
9.21726731,56.69317578,135703,120209,63,,,Lovns Sø,"Landskab, herunder vådområde",1,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Vesthimmerland,820,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/135703/
9.164104022,56.68147014,135705,120209,65,,,Hessel Skovhuse,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Vesthimmerland,820,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/135705/
10.01868106,55.1942128,135896,80204,102,,,Gørlum,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Assens,420,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/135896/
11.74644397,55.69196647,136638,30303,154,,,Nyvang,"Landskab, herunder vådområde",1,3188,Skaldynge,BXXX,Bronzealder,-1100,-501,Holbæk,316,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/136638/
9.25528785,56.70442349,136777,120201,105,,,Anneksgård I,"Ejendom, gård, hus",3,3188,Skaldynge,CXXX,Jernalder,-500,374,Vesthimmerland,820,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/136777/
9.561908007,56.88510928,136780,120803,82,,,Ejdrup,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Vesthimmerland,820,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/136780/
10.60455057,55.59292267,137017,80112,108,,,Langø,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/137017/
10.05437362,55.54207741,138103,80608,56,,,Glomands Banke,"Landskab, herunder vådområde",4,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Nordfyns,480,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/138103/
10.33799125,55.5933443,138654,80504,56,,,Agernæs Nordvest,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Nordfyns,480,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/138654/
10.16184733,56.70124798,138714,140410,138,,,Ajstrup Krat,"Landskab, herunder vådområde",3,3188,Skaldynge,AXXX,Stenalder,-2900,-2601,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/138714/
10.47425862,56.28334992,140549,141101,227,,,Kalø,Uspecificeret,2,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/140549/
10.48243831,56.20539122,140575,140507,31,,,Skellerup,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-250000,-3951,Syddjurs,706,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/140575/
12.1416358,55.91200325,140677,10506,22,,,Gadegaard,"Ejendom, gård, hus",2,3188,Skaldynge,AXXX,Stenalder,-3950,-3301,Hillerød,219,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/140677/
9.753527641,57.00509546,140873,120511,30,A,,Sønderholm,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Aalborg,851,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/140873/
9.788043139,55.43766732,140965,80706,44,,,Fønsvang Made,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-3950,-1701,Middelfart,410,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/140965/
9.776795416,55.45809249,140974,80707,2,,,Svinø,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Middelfart,410,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/140974/
11.90005945,55.73245383,141501,10202,279,,,Fagerholt,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Frederikssund,250,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/141501/
10.31772397,55.00962191,142073,90402,11,,,Korshavn,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Faaborg-Midtfyn,430,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/142073/
10.24311345,56.58662633,142556,140411,97,,,Højvang 2,Fortidsminde/lokalt kaldenavn,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Randers,730,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/142556/
10.17435255,55.58704977,143084,80606,37,,,Langø Mølle,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Nordfyns,480,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/143084/
10.17435255,55.58704977,143084,80606,37,,,Langø Mølle,"Ejendom, gård, hus",2,3188,Skaldynge,BXXX,Bronzealder,-1700,-501,Nordfyns,480,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/143084/
11.83338754,55.79991113,144153,30709,134,,,Næsby,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Holbæk,316,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144153/
9.920302922,55.83819518,144412,170112,50,,,Boller Nederskov øst,Beretningsnavn,1,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Horsens,615,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144412/
9.918791112,55.83841314,144414,170112,52,,,Boller Nederskov nord,Beretningsnavn,1,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Horsens,615,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144414/
9.899108038,55.84141589,144416,170112,54,,,Boller Lystskov,"Landskab, herunder vådområde",1,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Horsens,615,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144416/
10.61050773,54.83517092,144527,90303,133,,,Boløkke,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Langeland,482,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144527/
10.87392578,56.40733974,144692,140108,52,,,Skt. Jørgens kapel,Fortidsminde/lokalt kaldenavn,4,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Norddjurs,707,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144692/
10.10040649,56.93269496,144901,120103,18,,,Gudumlund B,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Aalborg,851,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144901/
10.10142688,56.93386291,144902,120103,19,,,Gudumlund C,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Aalborg,851,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144902/
10.13347307,56.85146013,144903,120302,66,,,Brohusgård,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Rebild,840,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144903/
9.927793325,56.65467599,144905,120411,110,,,Niversdal B,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144905/
9.865921183,56.64956007,144906,120411,111,,,Bramslev Bakker,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144906/
9.921573721,56.65246706,144907,120411,112,,,Ugledal,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144907/
9.925037312,56.65670001,144908,120411,113,,,Niversdal D,Beretningsnavn,1,3188,Skaldynge,CXXX,Jernalder,-500,374,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144908/
10.0933212,56.69966665,144909,120414,133,,,Thygeslund B.,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144909/
10.10001336,56.70737941,144910,120414,134,,,Thygeslund C,Beretningsnavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144910/
10.03060595,56.69535831,144911,120414,135,,,Vivebrogård,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Mariagerfjord,846,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144911/
9.930293567,55.86138354,144975,160512,69,,,Elbæk Strand,"Landskab, herunder vådområde",1,3188,Skaldynge,CXXX,Jernalder,-500,1066,Horsens,615,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144975/
9.940036265,55.86123766,144976,160512,70,,,Lokalitet 1,Beretningsnavn,1,3188,Skaldynge,CXXX,Jernalder,-500,1066,Horsens,615,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144976/
9.938952388,55.86134477,144994,160512,71,,,Elbæk Strand,"Landskab, herunder vådområde",1,3188,Skaldynge,CXXX,Jernalder,-500,1066,Horsens,615,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/144994/
